run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,error
29,9,2,success,35.60872220993042,256k,1,Put,,,,,,,,,,,,,,259.93,1039.72,961.799,259.93,259.93,259.93,0.0,1039.72,30004300.0,30004268.0,30004268.0,7799.0,31196.0,
30,10,0,success,36.23843193054199,256k,2,Put,,,,,,,,,,,,,,370.082,1480.33,1351.05,185.041,185.036,185.045,742.5,740.164,30001500.0,30002216.0,30000731.0,11103.0,44412.0,
31,10,1,success,35.600382566452026,256k,2,Put,,,,,,,,,,,,,,363.825,1455.3,1374.29,181.912,181.909,181.916,554.0,727.649,30000700.0,30001279.0,30000171.0,10915.0,43660.0,
32,10,2,success,36.24784588813782,256k,2,Put,,,,,,,,,,,,,,369.347,1477.39,1353.74,184.674,184.666,184.681,1197.0,738.694,30001600.0,30002788.0,30000394.0,11081.0,44324.0,
33,11,0,success,36.62603974342346,256k,4,Put,,,,,,,,,,,,,,465.452,1861.81,2148.45,116.363,116.358,116.366,888.465,465.452,30001000.0,30002333.0,30000111.0,13964.0,55856.0,
34,11,1,success,37.3030641078949,256k,4,Put,,,,,,,,,,,,,,482.231,1928.92,2073.69,120.558,120.551,120.562,1083.07,482.231,30002200.0,30003812.0,30001189.0,14468.0,57872.0,
35,11,2,success,36.62020778656006,256k,4,Put,,,,,,,,,,,,,,457.115,1828.46,2187.63,114.279,114.275,114.286,1125.91,457.115,30005600.0,30006612.0,30003781.0,13716.0,54864.0,
36,12,0,success,37.27439832687378,1m,1,Put,,,,,,,,,,,,,,431.101,431.101,2319.64,431.101,431.101,431.101,0.0,431.101,30006900.0,30006899.0,30006899.0,12936.0,12936.0,
37,12,1,success,36.63146257400513,1m,1,Put,,,,,,,,,,,,,,488.997,488.997,2045.0,488.997,488.997,488.997,0.0,488.997,30004300.0,30004287.0,30004287.0,14672.0,14672.0,
38,12,2,success,37.28878164291382,1m,1,Put,,,,,,,,,,,,,,501.075,501.075,1995.71,501.075,501.075,501.075,0.0,501.075,30007500.0,30007509.0,30007509.0,15036.0,15036.0,
39,13,0,success,37.642778396606445,1m,2,Put,,,,,,,,,,,,,,838.366,838.366,2385.59,419.183,419.157,419.209,1889.5,419.183,30006000.0,30007872.0,30004093.0,25156.0,25156.0,
40,13,1,success,38.28961133956909,1m,2,Put,,,,,,,,,,,,,,932.14,932.14,2145.6,466.07,466.017,466.123,3432.5,466.07,30008400.0,30011793.0,30004928.0,27972.0,27972.0,
41,13,2,success,37.63019824028015,1m,2,Put,,,,,,,,,,,,,,928.301,928.301,2154.47,464.15,464.127,464.173,1486.0,464.15,30003200.0,30004688.0,30001716.0,27852.0,27852.0,
42,14,0,success,38.30960464477539,1m,4,Put,,,,,,,,,,,,,,955.668,955.668,4185.55,238.917,238.85,239.031,8694.59,238.917,30014600.0,30023047.0,30000264.0,28684.0,28684.0,
43,14,1,success,37.62659239768982,1m,4,Put,,,,,,,,,,,,,,951.676,951.676,4203.11,237.919,237.877,237.998,5929.25,237.919,30018600.0,30023963.0,30008599.0,28568.0,28568.0,
44,14,2,success,38.29353904724121,1m,4,Put,,,,,,,,,,,,,,932.995,932.995,4287.27,233.249,233.221,233.278,2650.33,233.249,30010900.0,30014398.0,30007070.0,28000.0,28000.0,
45,15,0,success,35.61328649520874,4k,1,Get,8.81865,2257.57,442.953,8.81865,8.81865,8.81865,0.0,2257.57,30000300.0,30000339.0,30000339.0,264.562,67728.0,,,,,,,,,,,,,,
46,15,1,success,36.251107931137085,4k,1,Get,9.26029,2370.63,421.828,9.26029,9.26029,9.26029,0.0,2370.63,30000400.0,30000410.0,30000410.0,277.812,71120.0,,,,,,,,,,,,,,
47,15,2,success,35.634973764419556,4k,1,Get,8.87883,2272.98,439.951,8.87883,8.87883,8.87883,0.0,2272.98,30001100.0,30001131.0,30001131.0,266.375,68192.0,,,,,,,,,,,,,,
48,16,0,success,36.2541344165802,4k,2,Get,16.9944,4350.56,459.711,8.49718,8.49702,8.49734,572.0,2175.28,30000800.0,30001327.0,30000183.0,509.844,130520.0,,,,,,,,,,,,,,
49,16,1,success,35.61103129386902,4k,2,Get,16.8202,4305.98,464.47,8.41012,8.40996,8.41028,572.5,2152.99,30001100.0,30001639.0,30000494.0,504.625,129184.0,,,,,,,,,,,,,,
50,16,2,success,36.24290132522583,4k,2,Get,16.9026,4327.06,462.207,8.45129,8.45115,8.45144,513.5,2163.53,30001000.0,30001464.0,30000437.0,507.094,129816.0,,,,,,,,,,,,,,
51,17,0,success,35.61200428009033,4k,4,Get,28.5403,7306.31,547.472,7.13507,7.13494,7.13515,350.641,1826.58,30000900.0,30001444.0,30000576.0,856.234,219196.0,,,,,,,,,,,,,,
52,17,1,success,36.24144530296326,4k,4,Get,28.6481,7333.92,545.411,7.16203,7.16188,7.16217,591.298,1833.48,30000900.0,30001496.0,30000286.0,859.469,220024.0,,,,,,,,,,,,,,
53,17,2,success,35.59241271018982,4k,4,Get,27.6169,7069.94,565.776,6.90424,6.90402,6.9044,716.6,1767.48,30000800.0,30001751.0,30000114.0,828.531,212104.0,,,,,,,,,,,,,,
54,18,0,success,36.25341987609863,16k,1,Get,27.4713,1758.17,568.774,27.4713,27.4713,27.4713,0.0,1758.17,30001700.0,30001712.0,30001712.0,824.188,52748.0,,,,,,,,,,,,,,
55,18,1,success,35.65658092498779,16k,1,Get,27.026,1729.66,578.147,27.026,27.026,27.026,0.0,1729.66,30001200.0,30001225.0,30001225.0,810.812,51892.0,,,,,,,,,,,,,,
56,18,2,success,36.246426820755005,16k,1,Get,26.8581,1718.92,581.762,26.8581,26.8581,26.8581,0.0,1718.92,30000300.0,30000298.0,30000298.0,805.75,51568.0,,,,,,,,,,,,,,
57,19,0,success,35.5890166759491,16k,2,Get,54.8488,3510.33,569.748,27.4244,27.4238,27.425,634.5,1755.16,30000600.0,30001273.0,30000004.0,1645.5,105312.0,,,,,,,,,,,,,,
58,19,1,success,36.255016565322876,16k,2,Get,55.5956,3558.12,562.095,27.7978,27.7978,27.7978,1.0,1779.06,30000100.0,30000147.0,30000145.0,1667.88,106744.0,,,,,,,,,,,,,,
59,19,2,success,35.6089448928833,16k,2,Get,56.0874,3589.6,557.166,28.0437,28.0433,28.0442,481.0,1794.8,30001100.0,30001623.0,30000661.0,1682.69,107692.0,,,,,,,,,,,,,,
60,20,0,success,36.24730157852173,16k,4,Get,200.238,12815.3,312.128,50.0596,50.059,50.0604,296.85,3203.82,30000500.0,30000836.0,30000012.0,6007.25,384464.0,,,,,,,,,,,,,,
61,20,1,failed,,16k,4,Get,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
62,20,2,success,34.56531500816345,16k,4,Get,209.895,13433.3,297.767,52.4738,52.4727,52.4745,405.197,3358.33,30000700.0,30001333.0,30000266.0,6297.0,403008.0,,,,,,,,,,,,,,
63,21,0,success,36.251081228256226,64k,1,Get,79.6567,1274.51,784.617,79.6567,79.6567,79.6567,0.0,1274.51,30000600.0,30000631.0,30000631.0,2389.75,38236.0,,,,,,,,,,,,,,
64,21,1,success,35.63178825378418,64k,1,Get,78.7591,1260.15,793.559,78.7591,78.7591,78.7591,0.0,1260.15,30002900.0,30002869.0,30002869.0,2363.0,37808.0,,,,,,,,,,,,,,
65,21,2,success,36.233680725097656,64k,1,Get,79.3798,1270.08,787.354,79.3798,79.3798,79.3798,0.0,1270.08,30001300.0,30001341.0,30001341.0,2381.5,38104.0,,,,,,,,,,,,,,
66,22,0,success,35.592597007751465,64k,2,Get,159.86,2557.77,781.932,79.9302,79.9285,79.9319,641.5,1278.88,30001200.0,30001804.0,30000521.0,4796.0,76736.0,,,,,,,,,,,,,,
67,22,1,success,36.235543966293335,64k,2,Get,157.533,2520.53,793.485,78.7664,78.7639,78.769,955.5,1260.26,30001700.0,30002628.0,30000717.0,4726.25,75620.0,,,,,,,,,,,,,,
68,22,2,failed,,64k,2,Get,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
69,23,0,failed,,64k,4,Get,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
