run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
113,37,2,success,35.270657777786255,64k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8355,1085.37,1842.69,33.9178,33.9176,33.918,170.0,542.684,30006400.0,30006575.0,30006235.0,2035.5,32568.0,
114,38,0,success,35.29013180732727,64k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5497,1400.8,2855.52,21.8874,21.8866,21.8889,1211.28,350.199,30002900.0,30004025.0,30000933.0,2626.75,42028.0,
115,38,1,success,35.27612614631653,64k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4142,1398.63,2859.95,21.8536,21.8526,21.8545,1257.06,349.657,30003700.0,30004956.0,30002372.0,2622.75,41964.0,
116,38,2,success,35.295893907547,64k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3673,1413.88,2829.1,22.0918,22.0909,22.0933,1386.1,353.469,30005400.0,30006738.0,30003445.0,2651.5,42424.0,
117,39,0,success,35.27219843864441,256k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8089,311.235,3213.0,77.8089,77.8089,77.8089,0.0,311.235,30009400.0,30009435.0,30009435.0,2335.0,9340.0,
118,39,1,success,35.292954444885254,256k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8982,319.593,3128.98,79.8982,79.8982,79.8982,0.0,319.593,30013200.0,30013209.0,30013209.0,2398.0,9592.0,
119,39,2,success,35.30573058128357,256k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6461,318.584,3138.89,79.6461,79.6461,79.6461,0.0,318.584,30007800.0,30007765.0,30007765.0,2390.0,9560.0,
120,40,0,success,35.27954602241516,256k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,130.29,521.161,3837.58,65.1452,65.1435,65.1469,777.5,260.581,30009900.0,30010676.0,30009121.0,3910.0,15640.0,
121,40,1,success,35.24535584449768,256k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,133.993,535.971,3731.55,66.9963,66.9932,66.9995,1413.5,267.985,30001600.0,30003051.0,30000224.0,4020.0,16080.0,
122,40,2,success,35.257020473480225,256k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,134.441,537.764,3719.1,67.2205,67.2188,67.2222,771.0,268.882,30013200.0,30013937.0,30012395.0,4035.0,16140.0,
123,41,0,success,36.2999050617218,256k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,207.418,829.672,4821.18,51.8545,51.8488,51.8581,2129.28,207.418,30007000.0,30010311.0,30004961.0,6224.0,24896.0,
124,41,1,success,36.31331181526184,256k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,218.989,875.954,4566.45,54.7471,54.7409,54.7558,3250.99,218.989,30006100.0,30009575.0,30001370.0,6571.0,26284.0,
125,41,2,success,36.27932000160217,256k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,206.666,826.663,4838.73,51.6664,51.6611,51.6745,3138.57,206.666,30005000.0,30008080.0,30000267.0,6201.0,24804.0,
126,42,0,success,35.29082107543945,1m,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,165.878,165.878,6028.53,165.878,165.878,165.878,0.0,165.878,30022100.0,30022076.0,30022076.0,4980.0,4980.0,
127,42,1,success,35.27094888687134,1m,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,166.218,166.218,6016.18,166.218,166.218,166.218,0.0,166.218,30008700.0,30008726.0,30008726.0,4988.0,4988.0,
128,42,2,success,35.28883075714111,1m,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,167.522,167.522,5969.37,167.522,167.522,167.522,0.0,167.522,30014000.0,30013997.0,30013997.0,5028.0,5028.0,
129,43,0,success,36.26324987411499,1m,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,212.712,212.712,9402.38,106.356,106.333,106.379,6477.5,106.356,30012400.0,30018888.0,30005933.0,6384.0,6384.0,
130,43,1,success,36.31350350379944,1m,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,209.812,209.812,9532.36,104.906,104.88,104.932,7359.5,104.906,30007900.0,30015243.0,30000524.0,6296.0,6296.0,
131,43,2,success,36.28229784965515,1m,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,228.054,228.054,8769.85,114.027,114.0,114.054,7174.5,114.027,30010400.0,30017610.0,30003261.0,6844.0,6844.0,
132,44,0,success,36.28529953956604,1m,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,323.386,323.386,12369.1,80.8465,80.8283,80.8585,4533.99,80.8465,30019900.0,30026613.0,30015411.0,9708.0,9708.0,
133,44,1,success,36.31442952156067,1m,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,323.135,323.135,12378.7,80.7839,80.7636,80.8101,6412.39,80.7839,30018400.0,30025914.0,30008610.0,9700.0,9700.0,
134,44,2,success,36.27301907539368,1m,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,338.486,338.486,11817.3,84.6215,84.5925,84.6478,7293.8,84.6215,30016000.0,30026286.0,30006693.0,10160.0,10160.0,
